id,philosophy-name,img
1,Metaphysics,Metaphysics.jpg
2,Epistemology,Epistemology.jpg
3,Ethics,Ethics.jpg
4,Philosophy of Mind,Philosophy-of-mind.jpg
5,Philosophy of History,Philosophy-of-history.jpg
6,Philosophy of Science,Philosophy-of-science.jpg
7,Aesthetics,Aesthetics.jpg
8,Logic,Logic.jpg
9,Philosophy of Politics,Philosophy-of-politics.jpg
10,Philosophy of Religion,Philosophy-of-religion.jpg
11,Philosophy of Language,Philosophy-of-language.jpg
12,Philosophy of Education,Philosophy-of-education.jpg
